This file was created by CMPT_ME_PRIOR_RETS using the 202112 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
LT_Rev is the average of the returns on two (big and small) low prior return portfolios
minus the average of the returns on two high prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -60 to -13.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,LT_Rev
193101,   1.11
193102,   1.99
193103,   4.61
193104,  -1.62
193105,  -2.64
193106,   3.38
193107,   4.20
193108,  -3.48
193109,  -7.01
193110,   5.85
193111,   0.84
193112,  -6.12
193201,   6.66
193202,   0.32
193203,   1.26
193204,   0.38
193205,   9.78
193206,  -2.85
193207,  17.50
193208,  20.83
193209,  -8.10
193210,  -8.21
193211,  -6.60
193212,  -8.83
193301,   2.32
193302,  -3.31
193303,   5.87
193304,  36.82
193305,  32.13
193306,  10.36
193307,   1.50
193308,   2.63
193309, -13.76
193310,  -6.34
193311,   2.12
193312,  -0.47
193401,  25.53
193402,   1.85
193403,  -1.89
193404,  -3.86
193405,  -7.27
193406,  -4.53
193407, -14.10
193408,   5.54
193409,   0.12
193410,  -4.08
193411,   2.53
193412,  -1.90
193501,  -2.28
193502,  -8.53
193503,  -0.37
193504,   5.51
193505,   2.08
193506,   0.18
193507,  10.54
193508,  10.40
193509,  -0.07
193510,   5.62
193511,   7.71
193512,   1.13
193601,  12.38
193602,   1.75
193603,  -1.45
193604,  -6.77
193605,   3.26
193606,  -2.49
193607,   4.55
193608,   2.56
193609,  -0.99
193610,   1.60
193611,  -2.31
193612,   3.38
193701,   1.07
193702,  -0.15
193703,  -1.82
193704,  -0.25
193705,  -2.73
193706,   0.76
193707,  -1.23
193708,  -2.24
193709,  -3.55
193710,   2.44
193711,   2.76
193712,   1.33
193801,  -0.45
193802,  -3.70
193803,   7.94
193804,  -3.29
193805,   3.87
193806, -12.30
193807,  -2.77
193808,  -3.14
193809,  -0.65
193810,   5.42
193811,  -3.04
193812,  -1.29
193901,  -1.08
193902,   2.41
193903,  -7.37
193904,   1.07
193905,  -0.07
193906,  -5.04
193907,   1.62
193908,  -0.32
193909,  14.98
193910,  -3.89
193911,  -3.88
193912,  -1.65
194001,   3.68
194002,  -1.19
194003,  -1.20
194004,   1.33
194005,  -3.21
194006,   1.67
194007,  -1.41
194008,  -1.80
194009,  -1.59
194010,   0.86
194011,  -5.03
194012,  -2.94
194101,   2.85
194102,  -1.63
194103,   0.61
194104,  -0.60
194105,  -0.28
194106,  -1.01
194107,   8.62
194108,  -1.66
194109,  -3.54
194110,  -3.41
194111,  -1.85
194112,  -5.98
194201,  14.48
194202,   1.19
194203,  -0.06
194204,  -0.08
194205,  -3.59
194206,  -0.15
194207,   3.32
194208,   0.06
194209,   3.11
194210,   8.81
194211,  -3.21
194212,   1.59
194301,  12.20
194302,   9.66
194303,   5.02
194304,   4.61
194305,   5.61
194306,  -1.26
194307,  -2.21
194308,  -0.76
194309,   2.99
194310,  -1.70
194311,  -4.20
194312,   3.32
194401,   2.57
194402,  -0.40
194403,   1.49
194404,  -0.56
194405,  -0.33
194406,   0.50
194407,   1.34
194408,   0.64
194409,   0.17
194410,  -0.84
194411,  -2.32
194412,  -0.33
194501,   0.53
194502,  -0.08
194503,   0.22
194504,  -1.90
194505,  -0.80
194506,   1.10
194507,   1.86
194508,  -0.47
194509,  -1.89
194510,  -3.73
194511,  -3.87
194512,  -1.63
194601,   1.17
194602,   2.07
194603,  -2.90
194604,  -0.69
194605,  -2.14
194606,   1.59
194607,   1.82
194608,   2.28
194609,   5.73
194610,   1.32
194611,   3.50
194612,   0.28
194701,  -0.31
194702,   0.40
194703,   3.03
194704,   5.13
194705,   3.23
194706,  -2.30
194707,  -3.71
194708,   2.34
194709,  -0.28
194710,  -0.98
194711,   1.76
194712,  -0.11
194801,   1.14
194802,   2.56
194803,  -1.49
194804,   0.34
194805,  -0.64
194806,   1.46
194807,   1.44
194808,  -1.03
194809,   1.20
194810,   0.50
194811,   0.71
194812,   0.74
194901,   0.89
194902,   1.02
194903,  -0.32
194904,  -0.12
194905,   1.21
194906,  -0.84
194907,  -0.36
194908,  -1.48
194909,  -0.60
194910,  -0.13
194911,  -1.83
194912,   3.52
195001,   2.30
195002,   0.08
195003,  -0.69
195004,   2.86
195005,  -3.00
195006,  -3.17
195007,   7.45
195008,  -2.98
195009,   0.29
195010,  -0.56
195011,   0.84
195012,   7.38
195101,   2.58
195102,  -3.25
195103,  -2.87
195104,  -0.33
195105,  -1.68
195106,  -4.57
195107,   1.05
195108,  -0.54
195109,   1.32
195110,  -0.46
195111,  -0.36
195112,  -2.14
195201,  -1.03
195202,   0.91
195203,  -2.38
195204,   1.83
195205,  -1.83
195206,  -1.68
195207,  -0.62
195208,   0.42
195209,   0.92
195210,   0.46
195211,  -0.80
195212,  -0.71
195301,   1.42
195302,   0.95
195303,   1.05
195304,   1.88
195305,  -1.31
195306,  -0.85
195307,  -0.62
195308,   0.90
195309,  -0.39
195310,  -3.34
195311,  -0.67
195312,  -1.18
195401,  -0.35
195402,  -0.92
195403,  -2.23
195404,  -3.09
195405,  -1.14
195406,  -1.09
195407,   0.55
195408,   0.06
195409,  -3.29
195410,  -0.96
195411,  -1.71
195412,  -0.09
195501,  -1.01
195502,  -1.96
195503,   0.02
195504,   0.00
195505,  -0.08
195506,  -3.24
195507,  -0.37
195508,   0.10
195509,   0.21
195510,  -0.02
195511,  -3.13
195512,  -0.45
195601,   1.15
195602,  -1.71
195603,  -2.85
195604,  -1.45
195605,   0.22
195606,  -1.42
195607,  -1.88
195608,   0.64
195609,   0.98
195610,  -0.41
195611,   2.41
195612,  -1.31
195701,   4.96
195702,   1.11
195703,  -0.60
195704,  -1.87
195705,  -2.08
195706,  -1.56
195707,  -0.51
195708,   2.07
195709,   2.49
195710,  -0.15
195711,  -0.78
195712,   1.68
195801,   2.44
195802,   0.73
195803,  -0.70
195804,   1.11
195805,   0.30
195806,  -0.67
195807,  -2.19
195808,   0.71
195809,  -0.62
195810,  -0.97
195811,  -0.35
195812,  -0.30
195901,   1.87
195902,   0.38
195903,  -0.45
195904,  -0.43
195905,   0.91
195906,  -0.02
195907,  -0.40
195908,  -1.12
195909,  -0.18
195910,  -0.05
195911,  -0.37
195912,  -0.51
196001,   0.92
196002,  -0.80
196003,  -1.42
196004,  -1.19
196005,  -3.50
196006,  -0.12
196007,   0.20
196008,   1.09
196009,   1.31
196010,   1.25
196011,  -2.58
196012,  -0.57
196101,   3.73
196102,  -2.73
196103,  -3.01
196104,   0.76
196105,   0.78
196106,  -1.73
196107,  -0.39
196108,  -1.59
196109,  -2.86
196110,  -0.49
196111,  -2.56
196112,   3.38
196201,   6.62
196202,   1.13
196203,  -1.14
196204,   0.59
196205,   3.42
196206,   1.74
196207,  -1.96
196208,  -1.10
196209,   1.73
196210,   0.83
196211,   0.79
196212,  -0.39
196301,   1.61
196302,   0.73
196303,   1.24
196304,   1.04
196305,   2.41
196306,  -0.31
196307,  -1.12
196308,   1.58
196309,  -0.17
196310,  -0.21
196311,  -0.01
196312,  -0.01
196401,   0.04
196402,   1.20
196403,   3.87
196404,  -2.54
196405,  -0.10
196406,  -0.50
196407,  -0.06
196408,  -0.66
196409,   3.66
196410,  -0.60
196411,  -1.47
196412,  -1.58
196501,   2.24
196502,   2.89
196503,   0.64
196504,   0.19
196505,   0.03
196506,  -1.81
196507,   1.59
196508,   1.67
196509,   2.00
196510,   0.94
196511,   1.04
196512,  -0.29
196601,   1.49
196602,   1.36
196603,   0.63
196604,   1.43
196605,  -0.93
196606,   1.40
196607,  -0.41
196608,   2.25
196609,  -1.30
196610,   0.04
196611,  -0.17
196612,   0.43
196701,   0.75
196702,   2.11
196703,  -0.77
196704,  -3.53
196705,  -0.24
196706,  -0.36
196707,  -1.71
196708,   0.31
196709,  -0.92
196710,   0.27
196711,  -2.18
196712,   2.06
196801,   5.95
196802,   2.68
196803,  -2.42
196804,  -4.86
196805,  -1.85
196806,   2.76
196807,   6.32
196808,   0.77
196809,   0.04
196810,   2.73
196811,  -2.16
196812,  -0.92
196901,   2.40
196902,   2.32
196903,  -0.01
196904,   0.09
196905,   1.36
196906,   1.46
196907,   3.01
196908,  -4.63
196909,  -1.13
196910,  -1.72
196911,  -0.50
196912,   0.09
197001,   4.11
197002,   1.57
197003,   5.16
197004,   6.85
197005,   3.83
197006,   3.19
197007,   1.49
197008,  -0.85
197009,  -7.56
197010,   0.77
197011,   2.05
197012,   1.23
197101,   0.80
197102,  -0.21
197103,  -1.98
197104,   2.02
197105,  -0.66
197106,  -1.15
197107,  -2.97
197108,   1.97
197109,  -1.75
197110,  -0.02
197111,  -0.89
197112,   0.70
197201,   2.85
197202,  -1.42
197203,  -1.63
197204,  -0.32
197205,  -1.22
197206,  -1.11
197207,  -0.24
197208,   3.08
197209,  -1.29
197210,   0.18
197211,   1.38
197212,  -2.29
197301,  -0.02
197302,  -0.17
197303,   0.89
197304,   2.49
197305,  -2.47
197306,  -0.40
197307,   0.51
197308,   0.28
197309,   5.73
197310,   2.32
197311,  -2.37
197312,   2.52
197401,   7.66
197402,   4.50
197403,  -0.26
197404,   1.27
197405,  -3.02
197406,  -1.88
197407,   3.32
197408,   2.02
197409,   1.24
197410,  -5.20
197411,   0.02
197412,  -4.00
197501,  14.51
197502,   0.08
197503,   4.86
197504,  -1.99
197505,   2.05
197506,   2.50
197507,   0.79
197508,  -2.37
197509,  -1.40
197510,   0.75
197511,   2.25
197512,  -0.32
197601,   9.15
197602,   4.90
197603,   0.30
197604,  -1.81
197605,  -3.43
197606,   1.69
197607,   0.40
197608,   0.29
197609,  -0.42
197610,  -1.59
197611,   1.19
197612,   2.85
197701,   0.88
197702,  -1.47
197703,  -0.76
197704,   0.22
197705,   0.26
197706,   3.23
197707,   1.49
197708,   3.40
197709,   0.54
197710,  -1.07
197711,   3.33
197712,  -1.69
197801,   1.48
197802,  -0.68
197803,   0.75
197804,   1.92
197805,  -0.17
197806,   0.05
197807,   0.57
197808,  -0.51
197809,  -0.75
197810,  -0.13
197811,  -0.78
197812,   0.25
197901,  -0.65
197902,   0.92
197903,  -0.36
197904,  -0.43
197905,   0.71
197906,  -2.71
197907,  -2.00
197908,  -1.67
197909,   0.13
197910,   1.53
197911,  -2.27
197912,  -0.36
198001,  -0.69
198002,  -0.01
198003,   2.51
198004,  -0.05
198005,   0.83
198006,  -2.80
198007,  -1.62
198008,  -1.55
198009,  -1.72
198010,  -2.73
198011,  -7.88
198012,   3.45
198101,   7.56
198102,   2.57
198103,   1.54
198104,   2.74
198105,   1.59
198106,   0.99
198107,  -3.49
198108,   1.30
198109,   5.13
198110,  -4.93
198111,   0.64
198112,   1.40
198201,   6.34
198202,   5.95
198203,   3.92
198204,  -1.68
198205,   1.48
198206,   1.95
198207,   2.23
198208,  -0.91
198209,  -0.53
198210,  -0.69
198211,   1.03
198212,   0.97
198301,   0.12
198302,  -0.37
198303,   0.96
198304,   3.10
198305,  -2.02
198306,  -0.84
198307,   1.29
198308,   0.15
198309,   0.77
198310,   1.17
198311,  -1.25
198312,   1.30
198401,   4.24
198402,   0.22
198403,   0.80
198404,  -1.65
198405,  -0.29
198406,  -3.58
198407,  -1.57
198408,  -1.80
198409,   1.74
198410,  -1.70
198411,   1.07
198412,  -3.10
198501,  -1.83
198502,  -0.08
198503,  -0.92
198504,   0.16
198505,  -3.97
198506,  -2.41
198507,   1.60
198508,   0.01
198509,  -0.80
198510,  -2.49
198511,  -2.22
198512,  -3.08
198601,  -2.75
198602,  -3.63
198603,  -2.66
198604,  -1.24
198605,  -1.49
198606,  -6.40
198607,  -3.83
198608,   4.75
198609,   3.90
198610,   0.71
198611,   0.24
198612,   0.58
198701,   3.19
198702,  -0.12
198703,   4.35
198704,   3.68
198705,   1.99
198706,  -1.30
198707,   2.29
198708,  -2.84
198709,   2.98
198710,  -5.80
198711,  -0.20
198712,   2.77
198801,  -1.61
198802,   1.34
198803,   1.23
198804,   0.47
198805,  -0.05
198806,   1.87
198807,  -1.35
198808,  -1.96
198809,  -2.00
198810,  -0.25
198811,  -0.80
198812,   0.79
198901,   2.83
198902,   0.93
198903,   0.55
198904,  -1.06
198905,  -1.72
