This file was created by CMPT_BETA_RETS using the 202112 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on BETA.

The portfolios are constructed at the end of June. Beta is estimated using monthly returns for the past 60 months
 (requiring at least 24 months with non-missing returns). Beta is estimated using the Scholes-Williams method.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    1.14,   -0.10,   -0.93,   -0.93,   -1.41,    1.36,    0.75,    0.09,   -0.29,   -0.59,   -1.22,   -0.42,   -1.39,   -1.91,   -0.82
196308,    3.66,    4.77,    6.34,    6.37,    9.69,    3.52,    3.90,    4.30,    5.26,    5.20,    7.34,    7.94,    4.91,    9.04,   10.44
196309,   -2.78,   -0.76,   -0.71,   -0.91,   -2.73,   -3.10,   -2.24,   -0.57,   -0.96,   -1.33,   -0.17,   -0.81,   -1.00,   -1.85,   -3.73
196310,    0.74,    3.57,    2.08,    5.76,    3.06,    1.24,   -0.13,    1.99,    5.16,    2.35,    1.86,    6.81,    4.78,    3.12,    2.98
196311,   -0.63,   -0.24,   -0.91,   -0.82,    0.13,   -0.91,   -0.15,    1.59,   -2.05,   -1.00,   -0.84,   -1.14,   -0.51,   -0.21,    0.52
196312,    2.66,    2.08,    2.70,    2.25,    0.75,    3.85,    0.65,    2.35,    1.81,    2.95,    2.49,    0.99,    3.45,    0.35,    1.20
196401,    2.89,    2.77,    2.48,    3.50,    1.56,    3.73,    1.42,    2.70,    2.84,    1.72,    3.13,    2.60,    4.35,    2.10,    0.95
196402,    1.31,    1.35,    1.98,    2.89,    3.15,    1.10,    1.70,    0.62,    2.10,    2.48,    1.56,    1.91,    3.78,    2.57,    3.81
196403,    0.95,    0.59,    2.41,    3.02,    6.00,    1.05,    0.77,    0.07,    1.11,    3.07,    1.87,    2.05,    3.90,    5.91,    6.09
196404,    2.35,    1.48,   -0.40,   -2.48,   -3.26,    2.65,    1.82,    1.57,    1.39,   -0.85,   -0.01,   -2.29,   -2.65,   -1.72,   -5.01
196405,    1.66,    1.50,    1.40,    2.06,    1.37,    1.63,    1.72,    0.26,    2.75,    2.21,    0.71,    0.91,    3.09,    1.36,    1.39
196406,    1.77,    2.05,    1.20,    1.08,    1.92,    1.52,    2.20,    3.84,    0.29,    1.12,    1.27,    2.31,    0.01,    2.21,    1.59
